uid,study,longitude_study,latitude_study,pack_id,denning_date,denning_doy,denned,fall_tmax,summer_tmax_prev1,winter_tmax,fall_prcp,summer_prcp_prev1,winter_swe,tiNDVI_prev1,annual_pdo,annual_ao,sos_prev1,los_prev1,latitude_individual
28,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,20,2003-04-23,113,1,4,15,-3,111,159,108,4.43682456,0.220833333,0.071583333,179.315155,10.86912727,52.87148474
29,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,20,2004-04-22,113,1,5,16,0,203,134,96,6.781384945,0.969166667,0.152083333,160.3459473,15.75830555,52.86135821
30,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,21,2007-04-04,94,1,8,20,0,185,169,24,8.852737427,0.190833333,0.13775,134.8710938,20.43847942,53.89360421
31,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,22,2007-04-16,106,1,6,18,-1,236,207,56,8.044736862,0.190833333,0.13775,131.2434082,21.24743271,53.4839346
32,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,23,2000-03-29,89,1,8,18,1,36,198,52,-9999,-1.063333333,0.1125,-9999,-9999,54.11108183
33,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,23,2001-04-16,106,1,7,18,2,104,291,52,6.351713181,-0.59,-0.046416667,163.4367523,14.95849133,54.108595
34,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,24,2004-04-30,121,1,4,18,0,185,122,116,7.71157074,0.969166667,0.152083333,153.4356079,18.89420605,51.74988763
35,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,24,2004-05-03,124,1,4,18,0,185,122,116,7.563047647,0.969166667,0.152083333,154.6491699,18.72269058,51.75027334
36,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,25,2003-04-26,116,1,3,14,-3,168,157,140,4.420537472,0.220833333,0.071583333,177.3093872,11.65386009,51.66151992
37,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,25,2004-04-16,107,1,2,16,-2,235,131,172,6.484278679,0.969166667,0.152083333,168.9327393,14.97852993,51.67094925
38,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,26,2003-04-27,117,1,8,21,1,101,133,52,7.813348055,0.220833333,0.071583333,156.7200317,20.0609026,52.91135779
39,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,26,2007-04-23,113,1,7,21,1,124,139,58,8.810760498,0.190833333,0.13775,112.3630371,23.85149193,52.91218152
40,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,26,2009-04-24,114,1,8,17,0,86,326,92,7.679009914,-1.2925,0.176833333,166.0258789,16.94945717,52.91166033
41,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,26,2010-04-26,116,1,5,20,3,167,162,20,7.506218672,-0.6125,-0.330333333,136.9417725,20.63473892,52.81039464
42,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,27,2000-04-23,114,1,9,19,1,61,218,60,-9999,-1.063333333,0.1125,-9999,-9999,54.31818619
43,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,28,2007-04-30,120,1,5,19,-1,145,166,128,9.451223373,0.190833333,0.13775,134.1591797,20.77511978,52.63088995
44,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,28,2009-04-15,105,1,6,15,-1,152,303,196,7.480442524,-1.2925,0.176833333,167.5288086,15.73159981,52.63069946
45,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,28,2010-04-05,95,1,3,17,2,232,184,52,7.408097267,-0.6125,-0.330333333,156.9654541,15.78265667,52.63023185
46,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,29,2006-04-19,109,1,2,10,-5,218,352,140,2.813451529,0.375,-0.37525,178.1508789,10.53366375,52.30038664
47,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,29,2007-04-22,112,1,1,12,-5,191,209,200,5.727705479,0.190833333,0.13775,156.4677734,16.79372978,52.16202123
48,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,29,2009-04-26,116,1,6,13,-2,136,397,64,4.065203667,-1.2925,0.176833333,180.8012695,13.38881302,52.43068452
49,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,29,2010-04-28,118,1,3,15,2,127,211,60,5.013170242,-0.6125,-0.330333333,175.6037598,12.84733915,52.5745811
50,"Jasper-Banff National Park, Alberta-BC, CA",-117.699282,52.97054829,30,2004-04-18,109,1,7,19,1,159,110,72,6.643832684,0.969166667,0.152083333,145.6958008,20.05709934,51.80460661
51,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,31,2007-04-24,114,1,5,22,-6,88,248,72,14.66663837,0.190833333,0.13775,101.3188477,26.26405334,56.226
52,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,32,2007-04-03,93,1,4,21,-4,96,277,80,12.44224167,0.190833333,0.13775,113.4853516,22.55408859,55.31821
53,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,33,2006-05-14,134,1,10,20,-4,23,309,112,13.64419651,0.375,-0.37525,106.1629639,27.10558319,56.1596
54,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,33,2007-05-10,130,1,4,22,-5,67,244,56,12.3580718,0.190833333,0.13775,111.9140625,23.52230167,56.17333
55,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,34,2006-05-02,122,1,10,20,-4,29,300,68,14.81020212,0.375,-0.37525,103.2689819,29.07176876,56.0559
56,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,35,2007-04-22,112,1,5,22,-5,80,238,60,13.63137817,0.190833333,0.13775,110.315918,24.54871941,55.77698
57,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,36,2006-04-24,114,1,10,20,-4,37,282,60,14.6389122,0.375,-0.37525,92.73968506,31.30609989,55.83282
58,"West Athabasca River, Alberta, CA",-112.9667875,55.85988375,37,2006-04-14,104,1,9,19,-4,52,320,72,14.36481047,0.375,-0.37525,105.8287964,28.78534412,55.33623
59,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,38,2004-05-08,129,1,4,17,-9,165,297,324,15.39587879,0.969166667,0.152083333,114.6453857,23.10032845,62.96068858
60,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2005-04-05,95,1,2,25,-5,119,142,80,15.09720612,0.345,-0.192333333,119.5288086,21.35590553,64.090989
61,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2006-05-10,130,1,0,23,-10,152,174,16,14.60904884,0.375,-0.37525,123.7861328,20.41674995,63.852328
62,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2007-05-18,138,1,3,20,-11,62,281,60,13.67764187,0.190833333,0.13775,130.1027832,20.35155964,63.853027
63,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2010-05-04,124,1,3,20,-11,75,121,56,14.65429831,-0.6125,-0.330333333,125.6711426,22.69600391,63.619835
64,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2013-04-14,104,1,-3,20,-8,97,247,80,14.75928211,-1.1,-0.1815,122.7250977,21.067173,63.87332
65,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2014-05-02,122,1,3,22,-6,156,142,44,13.88779545,-0.5175,0.001,143.4047852,19.90328026,63.92095
66,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2015-05-14,134,1,0,19,-6,94,290.5,40,14.55719566,1.130833333,-0.066666667,116.3188477,21.44126129,63.94015
67,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,39,2016-05-17,138,1,2,20,-5,175,221.5,36,14.0217309,1.634166667,0.629583333,115.3842773,20.21605682,63.96223
68,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,40,2007-04-17,107,1,4,19,-11,70,305,80,12.35276461,0.190833333,0.13775,133.0340576,19.41087055,63.49357981
69,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,41,2005-05-13,133,1,1,21,-4,141,156,108,13.57112646,0.345,-0.192333333,129.2156982,19.63027477,63.755034
70,"Denali National Park, Alaska, USA",-150.4863814,63.6352304,41,2006-05-14,134,1,0,19,-10,170,205,44,14.52177429,0.375,-0.37525,125.5065918,20.27884293,63.75587951
